,Unnamed: 0,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response,Latency,Latency Corrected SA
401,8,18.098,2018-07-16 14:10:20.396343,H2b3,2018-07-16 14:10:20.378245,805.0,367.852,2018-07-16 14:10:20.562171,2018-07-16 14:10:20.186260,2018-07-16 14:10:20.396343,18.098,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,45.49100000000001,81.74488888888888,99.84288888888888
402,9,63.589,2018-07-16 14:10:20.809686,H2b3,2018-07-16 14:10:20.746097,805.0,367.718,2018-07-16 14:10:20.929956,2018-07-16 14:10:20.562171,2018-07-16 14:10:20.809686,63.589,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,13.233999999999995,81.71511111111111,145.30411111111113
403,10,76.82300000000001,2018-07-16 14:10:21.190638,H2b3,2018-07-16 14:10:21.113815,805.0,367.905,2018-07-16 14:10:21.297767,2018-07-16 14:10:20.929956,2018-07-16 14:10:21.190638,76.82300000000001,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,-3.4919999999999902,81.75666666666666,158.5796666666666
404,11,73.331,2018-07-16 14:10:21.555051,H2b3,2018-07-16 14:10:21.481720,805.0,367.844,2018-07-16 14:10:21.665642,2018-07-16 14:10:21.297767,2018-07-16 14:10:21.555051,73.331,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,-19.878,81.74311111111109,155.07411111111108
405,12,53.453,2018-07-16 14:10:21.903017,H2b3,2018-07-16 14:10:21.849564,805.0,383.86800000000005,2018-07-16 14:10:22.041498,2018-07-16 14:10:21.665642,2018-07-16 14:10:21.903017,53.453,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,-23.666000000000004,85.304,138.757
406,13,29.787,2018-07-16 14:10:22.263219,H2b3,2018-07-16 14:10:22.233432,805.0,399.73800000000006,2018-07-16 14:10:22.433301,2018-07-16 14:10:22.041498,2018-07-16 14:10:22.263219,29.787,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,-47.617,88.83066666666667,118.61766666666668
407,14,-17.83,2018-07-16 14:10:22.615340,H2b3,2018-07-16 14:10:22.633170,805.0,383.695,2018-07-16 14:10:22.825017,2018-07-16 14:10:22.433301,2018-07-16 14:10:22.615340,-17.83,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,17.516,85.26555555555555,67.43555555555554
408,15,-0.314,2018-07-16 14:10:23.016551,H2b3,2018-07-16 14:10:23.016865,805.0,415.96,2018-07-16 14:10:23.224845,2018-07-16 14:10:22.825017,2018-07-16 14:10:23.016551,-0.314,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,-55.593,92.43555555555555,92.12155555555556
409,16,-55.907,2018-07-16 14:10:23.376918,H2b3,2018-07-16 14:10:23.432825,805.0,399.92400000000004,2018-07-16 14:10:23.632787,2018-07-16 14:10:23.224845,2018-07-16 14:10:23.376918,-55.907,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,1.343999999999994,88.87200000000001,32.965
410,17,-54.563,2018-07-16 14:10:23.778186,H2b3,2018-07-16 14:10:23.832749,805.0,431.795,2018-07-16 14:10:24.048647,2018-07-16 14:10:23.632787,2018-07-16 14:10:23.778186,-54.563,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,-14.307000000000002,95.95444444444445,41.39144444444445
411,18,-68.87,2018-07-16 14:10:24.195674,H2b3,2018-07-16 14:10:24.264544,805.0,431.616,2018-07-16 14:10:24.480352,2018-07-16 14:10:24.048647,2018-07-16 14:10:24.195674,-68.87,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,-18.340999999999994,95.91466666666666,27.044666666666657
412,19,-87.211,2018-07-16 14:10:24.608949,H2b3,2018-07-16 14:10:24.696160,805.0,431.836,2018-07-16 14:10:24.912078,2018-07-16 14:10:24.480352,2018-07-16 14:10:24.608949,-87.211,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,-30.599000000000004,95.96355555555556,8.75255555555556
413,20,-117.81,2018-07-16 14:10:25.010186,H2b3,2018-07-16 14:10:25.127996,805.0,432.51,2018-07-16 14:10:25.344251,2018-07-16 14:10:24.912078,2018-07-16 14:10:25.010186,-117.81,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,25.980000000000004,96.11333333333332,-21.696666666666676
414,21,-91.83,2018-07-16 14:10:25.468676,H2b3,2018-07-16 14:10:25.560506,805.0,431.36800000000005,2018-07-16 14:10:25.776190,2018-07-16 14:10:25.344251,2018-07-16 14:10:25.468676,-91.83,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,-13.355000000000004,95.85955555555556,4.029555555555561
415,22,-105.185,2018-07-16 14:10:25.886689,H2b3,2018-07-16 14:10:25.991874,805.0,431.79,2018-07-16 14:10:26.207769,2018-07-16 14:10:25.776190,2018-07-16 14:10:25.886689,-105.185,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,-6.122000000000001,95.95333333333332,-9.23166666666667
416,23,-111.307,2018-07-16 14:10:26.312357,H2b3,2018-07-16 14:10:26.423664,805.0,399.815,2018-07-16 14:10:26.623571,2018-07-16 14:10:26.207769,2018-07-16 14:10:26.312357,-111.307,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,13.619000000000002,88.8477777777778,-22.459222222222227
417,24,-97.68799999999999,2018-07-16 14:10:26.725791,H2b3,2018-07-16 14:10:26.823479,805.0,399.721,2018-07-16 14:10:27.023340,2018-07-16 14:10:26.623571,2018-07-16 14:10:26.725791,-97.68799999999999,-29.501459459459447,58.388701555273606,-29.501459459459447,58.388701555273606,0,13.866,88.82688888888889,-8.861111111111112
