Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
,,H1b2,33:40.2,127,655.739,33:40.5,33:39.9,33:40.2,-7.009,-27.89105,135.9818748,826.3644762,604.8672948,2,
200.553,36:13.9,H1b3,36:13.7,127,447.565,36:13.9,36:13.4,36:13.9,200.553,-32.69348387,58.89377059,1214.552156,228.3468731,3,
817.49,36:14.9,H1b3,36:14.1,127,448.038,36:14.3,36:13.9,,,-32.69348387,58.89377059,1214.552156,228.3468731,3,
795.361,36:15.3,H1b3,36:14.5,127,447.798,36:14.8,36:14.3,,,-32.69348387,58.89377059,1214.552156,228.3468731,3,
953.239,36:15.9,H1b3,36:15.0,127,431.615,36:15.2,36:14.8,36:14.9,-78.346,-32.69348387,58.89377059,1214.552156,228.3468731,3,-5.706
1320.059,36:16.7,H1b3,36:15.4,127,448.076,36:15.7,36:15.2,36:15.3,-84.052,-32.69348387,58.89377059,1214.552156,228.3468731,3,157.6
1277.269,36:17.2,H1b3,36:15.9,127,447.699,36:16.1,36:15.7,36:15.9,73.548,-32.69348387,58.89377059,1214.552156,228.3468731,3,
1288.213,36:17.6,H1b3,36:16.3,127,447.566,36:16.5,36:16.1,,,-32.69348387,58.89377059,1214.552156,228.3468731,3,
1295.079,36:18.1,H1b3,36:16.8,127,432.033,36:17.0,36:16.5,36:16.7,-23.282,-32.69348387,58.89377059,1214.552156,228.3468731,3,-26.747
1305.368,36:18.5,H1b3,36:17.2,127,447.797,36:17.4,36:17.0,36:17.2,-50.029,-32.69348387,58.89377059,1214.552156,228.3468731,3,10.846
1315.938,36:19.0,H1b3,36:17.6,127,447.916,36:17.9,36:17.4,36:17.6,-39.183,-32.69348387,58.89377059,1214.552156,228.3468731,3,6.516
1289.53,36:19.4,H1b3,36:18.1,127,448.057,36:18.3,36:17.9,36:18.1,-32.667,-32.69348387,58.89377059,1214.552156,228.3468731,3,-5.735
1271.55,36:19.8,H1b3,36:18.5,127,431.489,36:18.8,36:18.3,36:18.5,-38.402,-32.69348387,58.89377059,1214.552156,228.3468731,3,26.878
1261.791,36:20.2,H1b3,36:19.0,127,447.707,36:19.2,36:18.8,36:19.0,-11.524,-32.69348387,58.89377059,1214.552156,228.3468731,3,-26.199
1260.345,36:20.7,H1b3,36:19.4,127,448.007,36:19.6,36:19.2,36:19.4,-37.723,-32.69348387,58.89377059,1214.552156,228.3468731,3,-17.93
