Asynchrony,Group,IOI,,Max,Mean Asynchrony,Min,Missed Taps,Phase Correction Response,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Sanitized Tap Onset,Std Dev Asynchrony,Tap Onset,Test,True Onset,User ID
-353.693,Professional,1327.619,Flute,34:01.8,-327.6635455,34:00.5,0,,-353.693,-327.6635455,66.98881909,34:00.8,66.98881909,34:00.8,H1b1,34:01.1,824
-186.404,Professional,655.878,Flute,33:26.6,826.3644762,33:25.9,2,27.876,-186.404,-27.89105,135.9818748,33:26.0,604.8672948,33:26.0,H1b2,33:26.2,824
-158.528,Professional,671.687,Flute,33:27.2,826.3644762,33:26.6,2,19.847,-158.528,-27.89105,135.9818748,33:26.7,604.8672948,33:26.7,H1b2,33:26.9,824
-138.681,Professional,655.655,Flute,33:27.9,826.3644762,33:27.2,2,81.663,-138.681,-27.89105,135.9818748,33:27.4,604.8672948,33:27.4,H1b2,33:27.6,824
-57.018,Professional,671.626,Flute,33:28.6,826.3644762,33:27.9,2,93.788,-57.018,-27.89105,135.9818748,33:28.2,604.8672948,33:28.2,H1b2,33:28.2,824
36.77,Professional,671.718,Flute,33:29.2,826.3644762,33:28.6,2,208.632,36.77,-27.89105,135.9818748,33:28.9,604.8672948,33:28.9,H1b2,33:28.9,824
245.402,Professional,655.647,Flute,33:29.9,826.3644762,33:29.2,2,,245.402,-27.89105,135.9818748,33:29.8,604.8672948,33:29.8,H1b2,33:29.6,824
543.661,Professional,672.03,Flute,33:30.6,826.3644762,33:29.9,2,,,-27.89105,135.9818748,,604.8672948,33:30.8,H1b2,33:30.2,824
727.25,Professional,671.623,Flute,33:31.2,826.3644762,33:30.6,2,183.996,-128.369,-27.89105,135.9818748,33:30.8,604.8672948,33:31.6,H1b2,33:30.9,824
984.959,Professional,655.523,Flute,33:31.9,826.3644762,33:31.2,2,273.809,55.627,-27.89105,135.9818748,33:31.6,604.8672948,33:32.5,H1b2,33:31.6,824
1090.941,Professional,671.853,Flute,33:32.5,826.3644762,33:31.9,2,,329.436,-27.89105,135.9818748,33:32.5,604.8672948,33:33.3,H1b2,33:32.2,824
1164.073,Professional,655.838,Flute,33:33.2,826.3644762,33:32.5,2,,,-27.89105,135.9818748,,604.8672948,33:34.0,H1b2,33:32.9,824
1278.088,Professional,671.365,Flute,33:33.9,826.3644762,33:33.2,2,73.62,-236.75,-27.89105,135.9818748,33:33.3,604.8672948,33:34.8,H1b2,33:33.5,824
1306.746,Professional,671.796,Flute,33:34.6,826.3644762,33:33.9,2,98.057,-163.13,-27.89105,135.9818748,33:34.0,604.8672948,33:35.5,H1b2,33:34.2,824
1359.742,Professional,655.764,Flute,33:35.2,826.3644762,33:34.6,2,44.259,-65.073,-27.89105,135.9818748,33:34.8,604.8672948,33:36.2,H1b2,33:34.9,824
1277.114,Professional,671.787,Flute,33:35.9,826.3644762,33:35.2,2,53.005,-20.814,-27.89105,135.9818748,33:35.5,604.8672948,33:36.8,H1b2,33:35.5,824
1313.563,Professional,671.777,Flute,33:36.5,826.3644762,33:35.9,2,-98.641,32.191,-27.89105,135.9818748,33:36.2,604.8672948,33:37.5,H1b2,33:36.2,824
1337.85,Professional,655.614,Flute,33:37.2,826.3644762,33:36.5,2,52.622,-66.45,-27.89105,135.9818748,33:36.8,604.8672948,33:38.2,H1b2,33:36.9,824
1288.309,Professional,671.905,Flute,33:37.9,826.3644762,33:37.2,2,24.159,-13.828,-27.89105,135.9818748,33:37.5,604.8672948,33:38.8,H1b2,33:37.5,824
1340.956,Professional,655.604,Flute,33:38.5,826.3644762,33:37.9,2,-49.531,10.331,-27.89105,135.9818748,33:38.2,604.8672948,33:39.6,H1b2,33:38.2,824
1336.372,Professional,671.676,Flute,33:39.2,826.3644762,33:38.5,2,52.876,-39.2,-27.89105,135.9818748,33:38.8,604.8672948,33:40.2,H1b2,33:38.9,824
1262.489,Professional,671.705,Flute,33:39.9,826.3644762,33:39.2,2,-20.685,13.676,-27.89105,135.9818748,33:39.6,604.8672948,33:40.8,H1b2,33:39.5,824
,Professional,655.739,Flute,33:40.5,826.3644762,33:39.9,2,,-7.009,-27.89105,135.9818748,33:40.2,604.8672948,,H1b2,33:40.2,824
200.553,Professional,447.565,Flute,36:13.9,1214.552156,36:13.4,3,,200.553,-32.69348387,58.89377059,36:13.9,228.3468731,36:13.9,H1b3,36:13.7,824
