,Unnamed: 0,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response,Group,Instrument
116,33,985.082,27:16.6,A1a4,27:15.6,552,0 days 00:00:00.325079000,27:15.8,27:15.4,27:15.6,12.325,13.22353571,20.53007349,1013.115518,20.35426458,2,-1.866,Professional,Percussion
117,34,990.906,27:16.9,A1a4,27:15.9,552,0 days 00:00:00.325080000,27:16.1,27:15.8,27:15.9,10.459,13.22353571,20.53007349,1013.115518,20.35426458,2,-0.925,Professional,Percussion
118,35,1078.617,27:17.3,A1a4,27:16.3,552,0 days 00:00:00.348299000,27:16.4,27:16.1,27:16.3,9.534,13.22353571,20.53007349,1013.115518,20.35426458,2,-22.91,Professional,Percussion
119,36,1005.196,27:17.6,A1a4,27:16.6,552,0 days 00:00:00.325079000,27:16.8,27:16.4,27:16.6,-13.376,13.22353571,20.53007349,1013.115518,20.35426458,2,5.824,Professional,Percussion
120,37,994.377,27:17.9,A1a4,27:16.9,552,0 days 00:00:00.325080000,27:17.1,27:16.8,27:16.9,-7.552,13.22353571,20.53007349,1013.115518,20.35426458,2,87.711,Professional,Percussion
121,38,1019.695,27:18.3,A1a4,27:17.3,552,0 days 00:00:00.348299000,27:17.4,27:17.1,27:17.3,80.159,13.22353571,20.53007349,1013.115518,20.35426458,2,-73.421,Professional,Percussion
122,39,987.201,27:18.6,A1a4,27:17.6,552,0 days 00:00:00.325079000,27:17.8,27:17.4,27:17.6,6.738,13.22353571,20.53007349,1013.115518,20.35426458,2,-10.819,Professional,Percussion
123,40,1001.335,27:18.9,A1a4,27:17.9,552,0 days 00:00:00.348300000,27:18.1,27:17.8,27:17.9,-4.081,13.22353571,20.53007349,1013.115518,20.35426458,2,2.098,Professional,Percussion
124,41,994.858,27:19.3,A1a4,27:18.3,552,0 days 00:00:00.325079000,27:18.4,27:18.1,27:18.3,-1.983,13.22353571,20.53007349,1013.115518,20.35426458,2,-9.274,Professional,Percussion
125,42,994.596,27:19.6,A1a4,27:18.6,552,0 days 00:00:00.325079000,27:18.8,27:18.4,27:18.6,-11.257,13.22353571,20.53007349,1013.115518,20.35426458,2,14.134,Professional,Percussion
126,43,999.858,27:19.9,A1a4,27:18.9,552,0 days 00:00:00.348300000,27:19.1,27:18.8,27:18.9,2.877,13.22353571,20.53007349,1013.115518,20.35426458,2,-6.477,Professional,Percussion
